Temp/Freq,100,200,300,500,600,800,1000,1500,2000,3000,5000,7000,9000,10000,15000,20000,30000,40000,50000,60000,70000,90000,100000,200000,300000,400000,500000,600000,700000,800000,900000,1000000,2000000
344,169.546,12.994,10.659,11.458,11.278,11.181,11.121,11.368,11.478,11.587,11.719,11.74,11.8,11.737,None,11.584,11.358,11.122,10.95,10.727,10.612,10.322,10.192,9.297,8.771,8.402,8.04,7.824,7.653,7.519,7.413,7.321,7.051,
345,-152.804,12.051,11.022,11.68,11.499,None,11.29,None,11.648,11.693,11.848,12.037,12.206,11.94,12.039,11.703,11.955,11.889,10.977,10.75,10.627,10.368,10.448,9.287,8.764,8.393,8.136,None,7.798,7.712,None,7.607,7.715,
346,187.681,12.385,10.872,11.416,10.714,11.304,11.594,11.993,12.057,12.459,12.946,12.95,12.998,12.904,12.703,12.275,11.894,11.114,10.944,10.765,10.595,10.303,10.172,9.265,None,8.338,8.052,7.838,7.671,7.541,7.434,7.57,7.608,
347,15.698,9.415,10.606,10.403,11.779,11.066,11.253,11.328,11.464,11.573,11.712,11.75,11.744,11.755,11.608,11.568,11.344,11.117,10.939,10.761,10.59,10.301,None,9.265,8.712,8.328,8.046,7.835,7.664,7.535,7.426,None,7.09,
348,-131.321,8.825,11.8,12.118,11.35,11.233,11.256,11.299,11.474,11.587,11.713,11.745,11.797,11.768,11.66,None,11.343,None,10.939,10.709,10.593,10.299,10.169,9.258,8.706,8.322,8.039,7.825,7.655,7.524,7.415,None,7.062,
349,177.82,13.007,11.526,10.492,11.882,11.372,11.198,11.402,11.465,11.531,None,11.742,11.725,11.734,11.684,11.586,11.346,11.108,10.937,10.785,10.59,10.295,10.169,9.25,8.699,8.316,8.036,7.822,7.653,None,7.412,7.323,7.052,
350,-197.755,9.668,10.98,10.874,10.983,11.441,11.457,None,11.508,11.631,11.738,11.764,11.76,11.742,11.677,11.591,11.343,11.119,10.936,10.774,10.588,10.295,10.165,9.247,8.699,8.315,8.036,None,7.651,7.521,7.412,7.322,7.049,
351,17.037,13.597,12.119,12.233,11.447,11.049,11.276,11.452,11.496,11.599,11.72,11.762,11.749,11.74,11.702,11.585,11.351,11.111,10.937,10.688,10.59,10.294,10.165,9.246,8.703,8.32,None,7.821,7.651,7.52,7.411,7.321,7.049,
352,-33.438,12.918,11.152,10.484,10.778,11.143,11.183,11.447,11.507,11.606,11.716,11.777,11.753,11.745,11.718,11.581,11.347,11.095,10.931,10.766,10.585,10.292,None,9.261,8.703,8.314,8.033,7.822,7.65,7.519,7.408,7.319,7.048,
353,-102.335,10.069,12.208,11.222,10.335,11.447,11.136,11.402,11.497,11.66,11.725,11.755,11.735,11.752,11.715,11.561,11.35,11.099,None,10.798,10.588,10.293,10.163,9.25,8.71,8.32,8.032,7.82,7.648,7.514,7.408,7.318,7.046,
354,-222.28,14.455,10.648,11.951,10.804,11.175,11.255,11.302,11.487,11.63,11.732,11.784,11.78,11.762,None,None,None,11.112,10.933,10.763,10.582,10.29,10.161,9.232,8.698,8.309,8.03,7.819,7.646,None,7.408,7.317,7.044,
355,-137.836,9.384,11.6,11.074,11.262,11.509,11.344,11.437,11.523,11.6,None,None,None,None,None,11.581,11.348,11.124,10.933,10.77,10.582,10.291,10.162,9.25,8.701,8.316,8.03,None,7.646,7.511,7.405,7.315,7.044,
356,-154.347,9.026,12.113,12.046,10.754,11.293,None,None,None,None,None,11.761,11.737,11.763,11.643,11.583,11.342,11.109,10.933,10.711,10.579,10.288,10.16,9.236,None,8.313,8.028,7.812,7.645,7.51,7.404,7.314,7.047,
357,242.291,15.611,12.164,11.571,None,None,None,11.422,11.503,11.647,11.722,11.775,11.748,11.758,11.701,11.563,11.332,11.101,10.933,10.694,10.581,10.289,10.16,None,8.704,8.306,8.027,7.814,7.643,7.51,7.403,7.313,7.04,
358,96.781,15.708,11.525,12.578,11.898,11.662,11.331,11.45,11.481,11.633,11.741,11.747,11.735,11.759,11.722,11.589,11.333,11.107,10.93,10.696,10.572,10.286,None,9.242,8.702,8.305,8.025,7.81,7.641,7.509,7.4,7.311,7.037,
359,-248.373,9.419,13.432,12.271,11.498,11.432,11.485,11.417,11.564,11.642,11.727,11.761,11.762,11.748,11.646,11.56,11.349,11.113,10.932,10.773,None,10.287,10.156,9.23,8.694,8.305,8.024,7.809,7.64,7.506,7.4,7.31,7.037,
360,172.482,11.45,11.956,12.208,12.207,11.538,11.27,11.549,11.56,11.655,11.749,11.76,11.729,11.749,11.664,11.565,11.344,11.109,10.926,10.703,None,10.285,10.155,9.248,8.696,8.303,8.023,7.811,7.639,7.506,7.399,7.309,7.036,
361,-173.074,10.685,9.655,12.202,11.599,11.45,11.425,11.457,11.588,11.644,11.748,11.789,11.78,11.758,11.583,11.545,11.353,11.122,None,10.771,10.581,10.285,10.156,9.245,8.692,8.303,8.023,7.811,7.639,7.505,7.399,7.309,7.035,
362,-229.536,11.081,11.964,11.171,12.018,11.318,11.35,11.554,11.538,11.649,11.732,11.79,11.768,11.765,11.667,11.564,11.332,11.111,10.926,10.76,10.578,10.285,10.155,9.235,8.697,8.311,8.022,7.809,7.638,7.503,7.398,7.308,7.035,
363,-90.201,11.488,12.095,10.971,11.143,11.547,11.607,11.474,11.529,11.66,11.74,11.754,11.793,11.772,None,11.585,11.354,11.113,10.927,10.779,10.576,10.283,10.155,9.244,8.693,8.309,8.021,7.807,7.637,7.504,7.397,7.307,7.034,
364,12.978,15.671,10.882,11.15,12.594,11.652,11.416,11.62,11.531,11.662,11.802,11.797,11.79,None,11.646,11.576,11.348,11.108,10.928,10.767,10.579,10.283,None,9.236,8.688,8.301,8.021,7.809,7.636,7.506,7.396,7.307,None,
365,-152.051,7.905,10.194,12.288,11.335,11.359,11.43,11.475,None,11.673,11.752,11.762,11.769,11.758,11.672,11.575,11.334,11.117,10.927,10.757,10.577,None,None,9.23,8.689,8.302,8.019,7.805,7.635,7.504,None,7.305,7.032,
366,175.952,15.65,13.554,11.777,11.664,11.918,11.612,11.571,None,11.665,11.758,11.76,11.802,11.762,11.695,11.569,11.34,11.095,10.925,10.724,10.573,None,10.152,9.219,8.691,8.305,8.017,None,7.633,7.498,7.393,7.303,7.029,
367,-245.236,9.984,12.364,10.764,11.36,11.565,11.545,11.674,11.559,11.672,11.762,11.772,11.807,11.758,11.674,11.57,11.335,11.101,10.92,10.746,10.573,10.279,10.15,9.229,8.681,8.305,8.016,7.803,None,7.499,7.391,7.301,7.028,
368,239.159,14.459,13.88,11.976,11.623,11.836,11.606,11.573,11.58,11.685,11.754,11.794,11.795,11.753,11.643,11.574,11.345,11.096,10.927,10.76,10.575,10.279,10.15,None,None,None,8.015,7.802,7.631,7.499,7.39,7.301,7.028,
369,-197.293,10.593,12.669,11.731,11.661,11.777,11.481,11.558,11.61,11.693,11.799,11.787,11.809,11.789,11.657,11.581,11.344,11.088,10.929,10.774,None,None,None,None,8.686,8.3,None,7.801,7.63,7.495,7.39,7.3,7.029,
